Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1968","1968","t","330450","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1968","1968","1000 USD","54588","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1969","1969","t","15480","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1969","1969","1000 USD","4944","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1969","1969","t","388869","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1969","1969","1000 USD","58668","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1970","1970","t","16094","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1970","1970","1000 USD","5695","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1970","1970","t","452638","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1970","1970","1000 USD","101362","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1971","1971","t","14765","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1971","1971","1000 USD","5231","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1971","1971","t","622326","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1971","1971","1000 USD","138382","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1972","1972","t","14488","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1972","1972","1000 USD","5207","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1972","1972","t","774931","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1972","1972","1000 USD","145676","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1973","1973","t","13315","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1973","1973","1000 USD","7090","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1973","1973","t","895724","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1973","1973","1000 USD","228104","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1974","1974","t","10384","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1974","1974","1000 USD","8959","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1974","1974","t","1051907","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1974","1974","1000 USD","568123","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1975","1975","t","9127","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1975","1975","1000 USD","7425","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1975","1975","t","1347151","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1975","1975","1000 USD","629443","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1976","1976","t","8133","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1976","1976","1000 USD","6214","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1976","1976","t","1472846","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1976","1976","1000 USD","534423","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1977","1977","t","8966","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1977","1977","1000 USD","7219","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1977","1977","t","1520097","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1977","1977","1000 USD","792209","A","Official figure",""
